threshold,FAR,FRR
0.0000,1.000000,0.000000
0.0050,1.000000,0.000000
0.0100,1.000000,0.000000
0.0150,1.000000,0.000000
0.0200,1.000000,0.000000
0.0250,1.000000,0.000000
0.0300,1.000000,0.000000
0.0350,1.000000,0.000000
0.0400,1.000000,0.000000
0.0450,1.000000,0.000000
0.0500,1.000000,0.000000
0.0550,1.000000,0.000000
0.0600,0.977778,0.000000
0.0650,0.977778,0.014286
0.0700,0.977778,0.014286
0.0750,0.977778,0.014286
0.0800,0.977778,0.028571
0.0850,0.977778,0.042857
0.0900,0.977778,0.085714
0.0950,0.977778,0.100000
0.1000,0.933333,0.114286
0.1050,0.933333,0.128571
0.1100,0.933333,0.142857
0.1150,0.933333,0.142857
0.1200,0.911111,0.157143
0.1250,0.888889,0.171429
0.1300,0.844444,0.185714
0.1350,0.844444,0.185714
0.1400,0.800000,0.185714
0.1450,0.755556,0.185714
0.1500,0.755556,0.200000
0.1550,0.711111,0.200000
0.1600,0.666667,0.214286
0.1650,0.644444,0.242857
0.1700,0.622222,0.242857
0.1750,0.600000,0.257143
0.1800,0.577778,0.271429
0.1850,0.533333,0.271429
0.1900,0.533333,0.300000
0.1950,0.533333,0.300000
0.2000,0.511111,0.300000
0.2050,0.511111,0.342857
0.2100,0.511111,0.342857
0.2150,0.511111,0.357143
0.2200,0.511111,0.357143
0.2250,0.488889,0.357143
0.2300,0.488889,0.357143
0.2350,0.488889,0.357143
0.2400,0.488889,0.357143
0.2450,0.488889,0.371429
0.2500,0.466667,0.385714
0.2550,0.444444,0.414286
0.2600,0.444444,0.428571
0.2650,0.400000,0.457143
0.2700,0.400000,0.457143
0.2750,0.400000,0.457143
0.2800,0.377778,0.457143
0.2850,0.377778,0.471429
0.2900,0.355556,0.471429
0.2950,0.311111,0.514286
0.3000,0.311111,0.514286
0.3050,0.311111,0.514286
0.3100,0.266667,0.528571
0.3150,0.244444,0.542857
0.3200,0.222222,0.542857
0.3250,0.222222,0.542857
0.3300,0.222222,0.542857
0.3350,0.222222,0.542857
0.3400,0.200000,0.557143
0.3450,0.200000,0.571429
0.3500,0.200000,0.585714
0.3550,0.177778,0.600000
0.3600,0.177778,0.614286
0.3650,0.155556,0.628571
0.3700,0.155556,0.628571
0.3750,0.155556,0.628571
0.3800,0.155556,0.628571
0.3850,0.155556,0.628571
0.3900,0.133333,0.642857
0.3950,0.088889,0.642857
0.4000,0.088889,0.642857
0.4050,0.066667,0.642857
0.4100,0.066667,0.657143
0.4150,0.044444,0.671429
0.4200,0.044444,0.671429
0.4250,0.044444,0.685714
0.4300,0.044444,0.685714
0.4350,0.044444,0.685714
0.4400,0.044444,0.685714
0.4450,0.044444,0.685714
0.4500,0.044444,0.685714
0.4550,0.022222,0.685714
0.4600,0.022222,0.685714
0.4650,0.022222,0.700000
0.4700,0.022222,0.714286
0.4750,0.000000,0.714286
0.4800,0.000000,0.714286
0.4850,0.000000,0.714286
0.4900,0.000000,0.728571
0.4950,0.000000,0.728571
0.5000,0.000000,0.728571
0.5050,0.000000,0.728571
0.5100,0.000000,0.728571
0.5150,0.000000,0.742857
0.5200,0.000000,0.757143
0.5250,0.000000,0.757143
0.5300,0.000000,0.757143
0.5350,0.000000,0.757143
0.5400,0.000000,0.757143
0.5450,0.000000,0.757143
0.5500,0.000000,0.771429
0.5550,0.000000,0.771429
0.5600,0.000000,0.771429
0.5650,0.000000,0.771429
0.5700,0.000000,0.800000
0.5750,0.000000,0.800000
0.5800,0.000000,0.800000
0.5850,0.000000,0.800000
0.5900,0.000000,0.800000
0.5950,0.000000,0.814286
0.6000,0.000000,0.828571
0.6050,0.000000,0.828571
0.6100,0.000000,0.857143
0.6150,0.000000,0.857143
0.6200,0.000000,0.857143
0.6250,0.000000,0.871429
0.6300,0.000000,0.871429
0.6350,0.000000,0.885714
0.6400,0.000000,0.885714
0.6450,0.000000,0.885714
0.6500,0.000000,0.914286
0.6550,0.000000,0.914286
0.6600,0.000000,0.914286
0.6650,0.000000,0.914286
0.6700,0.000000,0.914286
0.6750,0.000000,0.928571
0.6800,0.000000,0.942857
0.6850,0.000000,0.942857
0.6900,0.000000,0.942857
0.6950,0.000000,0.942857
0.7000,0.000000,0.942857
0.7050,0.000000,0.942857
0.7100,0.000000,0.942857
0.7150,0.000000,0.942857
0.7200,0.000000,0.942857
0.7250,0.000000,0.942857
0.7300,0.000000,0.957143
0.7350,0.000000,0.957143
0.7400,0.000000,0.971429
0.7450,0.000000,0.985714
0.7500,0.000000,0.985714
0.7550,0.000000,0.985714
0.7600,0.000000,0.985714
0.7650,0.000000,0.985714
0.7700,0.000000,0.985714
0.7750,0.000000,0.985714
0.7800,0.000000,0.985714
0.7850,0.000000,0.985714
0.7900,0.000000,0.985714
0.7950,0.000000,0.985714
0.8000,0.000000,0.985714
0.8050,0.000000,0.985714
0.8100,0.000000,0.985714
0.8150,0.000000,0.985714
0.8200,0.000000,0.985714
0.8250,0.000000,1.000000
0.8300,0.000000,1.000000
0.8350,0.000000,1.000000
0.8400,0.000000,1.000000
0.8450,0.000000,1.000000
0.8500,0.000000,1.000000
0.8550,0.000000,1.000000
0.8600,0.000000,1.000000
0.8650,0.000000,1.000000
0.8700,0.000000,1.000000
0.8750,0.000000,1.000000
0.8800,0.000000,1.000000
0.8850,0.000000,1.000000
0.8900,0.000000,1.000000
0.8950,0.000000,1.000000
0.9000,0.000000,1.000000
0.9050,0.000000,1.000000
0.9100,0.000000,1.000000
0.9150,0.000000,1.000000
0.9200,0.000000,1.000000
0.9250,0.000000,1.000000
0.9300,0.000000,1.000000
0.9350,0.000000,1.000000
0.9400,0.000000,1.000000
0.9450,0.000000,1.000000
0.9500,0.000000,1.000000
0.9550,0.000000,1.000000
0.9600,0.000000,1.000000
0.9650,0.000000,1.000000
0.9700,0.000000,1.000000
0.9750,0.000000,1.000000
0.9800,0.000000,1.000000
0.9850,0.000000,1.000000
0.9900,0.000000,1.000000
0.9950,0.000000,1.000000
1.0000,0.000000,1.000000
